column1,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank
22,0.923076923,0.076923077,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,1,0,277,1184,0,0,1,0
23,0.915254237,0.084745763,0,0,0,0.2,0,0,0,0,100,0,100,0,0,0,0,50,0,0,0,1,1,0,541,3476,4672316,0,0,4
24,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,1,0,25,3993,5707171,0,1,0
25,0.285714286,0.714285714,0,3,0,0,0,0,0,1,46.15384615,0,0,0,0,0,0,0,0,0,0,1,0,0,373,7296,0,0,1,5
26,0.973913043,0.026086957,0,0,0,0.333333333,0,0,0,0,100,0,100,0,0,0,0,90.32258065,0,0,0,1,1,0,315,6989,2203390,0,0,4
27,0.647058824,0.352941176,0,2,0,0.083333333,0,0.166666667,1,1,66.66666667,0,93.75,6.25,0,0,0,20,0,0,0,1,1,0,634,4845,5964,0,0,5
28,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,1,0,25,3993,5707171,0,1,0
29,0.483870968,0.516129032,0,0,0,0.4375,0,0.625,0,1,66.66666667,0,100,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,1,0
30,0.947368421,0.052631579,0,0,0,0.2,0,0,0,0,92.85714286,0,94.44444444,5.555555556,0,0,0,50,0,0,0,0,0,0,290,1170,390047,0,0,4
31,0.388888889,0.611111111,0,5,0,0,0,0,0,1,20,0,100,0,0,0,0,0,0,0,0,1,1,0,224,1237,0,0,1,1
32,0.19047619,0.80952381,0,1,0,0.294117647,0,0,0,1,0,0,20,80,0,0,0,25,0,0,0,1,1,0,217,5627,0,0,1,5
33,0,1,0,0,0,0,0,0.333333333,0,0,0,0,0,100,0,0,0,0,0,0,0,1,0,0,251,3767,9264543,0,1,0
34,0.542857143,0.457142857,0,2,0,0.0625,0,0.020833333,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,0,911,9316,13,0,0,7
35,0.375,0.625,0,0,0,0.4,0,0.1,0,0,0,0,0,100,0,0,0,45.45454545,0,0,0,1,0,0,125,7849,0,0,0,4
36,0.3117506,0.6882494,0,0,0,0.146341463,0,0.013937282,1,1,96.66666667,0,97.43589744,2.564102564,0,0,0,0,0,0,0,1,1,0,97,3920,0,0,0,2
37,0.481481481,0.518518519,0,0,0,0.714285714,0,0,0,0,40,0,0,0,0,0,0,8.333333333,0,0,0,1,0,0,1049,5159,0,0,0,8
38,0.875,0.125,0,0,0,0.35,0,0.1,0,0,100,0,94.73684211,5.263157895,0,0,0,17.39130435,0,0,0,1,1,0,78,-1,74862,0,0,3
39,0.732240437,0.267759563,0,0,0,0.346938776,0,0.081632653,0,0,72.22222222,0,100,0,0,0,0,22.80701754,0,0,0,1,0,0,248,5230,5828226,0,0,7
40,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,0,0,162,3125,0,0,1,1
41,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,0,0,88,5026,544886,0,1,4
42,0.545454545,0.454545455,0,1,0,0,0,0,0,1,40,0,0,0,0,0,0,60,0,0,0,1,1,0,257,2300,0,0,1,2
43,0.971428571,0.028571429,0,0,0,0,0,0,0,0,94.44444444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2580,1671658,0,0,2
44,0.939622642,0.060377358,0,0,0,0,0,0,0,0,100,0,50,50,0,0,0,76.66666667,0,0,0,0,1,0,3305,5825,7698,0,0,7
45,0.115384615,0.884615385,0,0,0,0,0,0.086956522,0,1,7.692307692,0,0,0,0,0,0,0,0,0,0,1,0,0,381,8019,0,0,1,4
46,0.741935484,0.258064516,0,0,0,0.277777778,0,0.263888889,0,1,31.25,0,100,0,0,0,0,25,0,0,0,0,0,0,197,7839,607,0,0,6
47,0,1,0,1,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,1,0,0,250,2306,0,0,1,0
48,0.976190476,0.023809524,0,0,0,0.1,0,0,0,0,94.73684211,0,80.95238095,19.04761905,0,0,0,94.68085106,1,0,0,1,0,0,0,-1,6431,0,0,6
605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,60,-1,0,0,1,0
49,0.923076923,0.076923077,0,0,0,1,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,325,1500,0,0,1,0
50,0.953488372,0.046511628,0,0,0,0,0,0,0,1,93.75,0,100,0,0,0,0,0,0,0,0,1,0,0,1278,2739,11657,0,1,6
51,0.84375,0.15625,0,2,0,0,0,0.3,0,1,45.45454545,0,100,0,0,0,0,100,0,0,0,1,1,0,231,134,1508317,0,1,2
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,517,7802,0,0,1,5
53,0.920948617,0.079051383,0,0,0,0.45,0,0.2,0,0,100,0,100,0,0,0,0,63.63636364,0,0,0,1,0,0,902,7133,12,0,0,7
54,0.615384615,0.384615385,0,2,0,0.142857143,0,0.085714286,0,1,28.57142857,0,38.46153846,61.53846154,0,0,0,50,0,0,0,1,1,0,137,1690,0,0,1,2
55,0.766304348,0.233695652,0,3,0,0.348837209,0,0.023255814,1,1,82.85714286,0,81.81818182,18.18181818,0,0,0,9.677419355,0,0,0,1,1,0,237,1588,0,0,1,0
56,0.966666667,0.033333333,0,0,0,0,0,0,0,0,100,0,80,20,0,0,0,100,0,0,0,1,0,0,77,5767,0,0,1,2
57,0.614457831,0.385542169,0,1,0,0.03125,0,0,0,1,52.63157895,0,9.090909091,90.90909091,0,0,0,71.42857143,0,0,0,1,0,0,133,7615,2190,0,0,5
58,0.740740741,0.259259259,0,1,0,0,0,0,0,1,50,0,100,0,0,0,0,100,0,0,0,1,1,0,2974,8348,1,0,0,10
59,0.37037037,0.62962963,0,4,0,0,0,0,0,1,33.33333333,0,0,100,0,0,0,0,0,0,0,1,1,0,2974,8348,1,0,1,10
60,0.974576271,0.025423729,0,0,0,0.333333333,0,0,0,0,100,0,100,0,0,0,0,90,0,0,0,1,1,0,315,6989,2203390,0,1,4
61,0.19047619,0.80952381,0,1,0,0.176470588,0,0,0,1,0,0,20,80,0,0,0,25,0,0,0,1,1,0,228,5615,0,0,1,5
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1630,9327,4053,0,0,5
63,0.944444444,0.055555556,0,0,0,0,0,0.333333333,0,0,100,0,100,0,0,0,0,57.14285714,0,0,0,1,1,0,92,3561,6010,0,0,4
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,230,5614,0,0,0,5
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,148,5408,0,0,1,1
66,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,2976,8346,1,0,1,10
67,0.988023952,0.011976048,0,0,0,0,0,0,0,0,83.33333333,0,100,0,0,0,0,100,0,0,0,1,0,0,3253,5877,24587,0,0,5
68,0.941107185,0.058892815,0,0,0,0.36,0,0.24,0,1,7.692307692,0,66.66666667,33.33333333,0,0,0,96.4504284,0,0,0,1,1,0,288,2633,827,0,1,7
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,792,6512,1680566,0,0,4
70,0.6,0.4,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,50,0,0,0,1,0,0,0,-1,0,0,1,0
71,0.937662338,0.062337662,0,0,0,0.291666667,0,0.041666667,0,0,100,0,100,0,0,0,0,70.37037037,0,0,0,0,0,0,901,7134,12,0,1,7
72,0.617924528,0.382075472,0,1,0,0.074074074,0,0.222222222,0,1,59.375,0,100,0,0,0,0,23.68421053,0,0,0,0,1,0,102,9394,1294,0,0,6
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5044,0,0,1,0
74,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,0,0,1078,2573,0,0,1,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,944,1246,7048,0,1,4
76,0.772727273,0.227272727,0,0,0,0.5,0,0.2,1,1,63.63636364,0,66.66666667,33.33333333,0,0,0,100,0,0,0,0,1,0,50,2872,8400,0,0,3
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,212,4537,0,0,1,1
78,0.964824121,0.035175879,0,0,0,0.428571429,0,0,0,0,100,0,100,0,0,0,0,74.07407407,0,0,0,0,0,0,902,7133,12,0,0,7
79,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,0,1,0,0,0,0,0,0,0,14.28571429,0,0,0,1,0,0,374,7295,0,0,1,5
80,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,0,123,973,8238037,0,1,2
81,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,374,7296,0,0,1,5
82,0.52,0.48,0,0,0,0,0,0.083333333,0,0,50,0,0,0,0,0,0,0,0,0,1,1,0,0,179,7491,63,0,0,10
83,0.212121212,0.787878788,0,0,0,0.346153846,0,0,0,1,25,0,0,100,0,0,0,10,0,0,0,1,1,0,413,-1,479698,0,0,2
84,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,1,1
85,0.864864865,0.135135135,0,2,0,0.05,0,0.05,0,1,61.11111111,0,0,0,0,0,0,35.71428571,0,0,0,1,0,0,323,8442,43102,0,0,5
86,0.546961326,0.453038674,0,3,0,0.085365854,0,0,0,1,0,0,11.62790698,88.37209302,0,0,0,81.03448276,0,0,0,1,1,0,2470,2277,2426481,0,0,3
87,0.691358025,0.308641975,0,0,0,0.12,0,0,0,0,58.33333333,0,0,0,0,0,0,20,0,0,0,1,1,0,27,1800,0,0,0,3
88,0.846938776,0.153061224,0,2,0,0.4,0,0.133333333,0,1,82.35294118,0,100,0,0,0,0,82.60869565,0,0,0,1,1,0,1011,-1,0,0,1,4
89,0.968992248,0.031007752,0,0,0,0.25,0,0,0,0,97.5,0,95.12195122,4.87804878,0,0,0,50,0,0,0,1,1,0,65,3952,3862928,0,0,4
90,0.887755102,0.112244898,0,0,0,0.727272727,0,0,0,0,0,0,50,50,0,0,0,52.94117647,0,0,0,1,0,0,258,4855,128132,0,0,4
91,0.511111111,0.488888889,0,0,0,0.636363636,0,0.636363636,1,1,60,0,100,0,0,0,0,10,0,0,0,1,1,0,201,166,0,0,1,0
92,0.5,0.5,0,1,0,0.157894737,0,0.052631579,0,1,58.82352941,0,0,100,0,0,1,53.84615385,0,0,0,1,0,0,654,4093,52436,0,0,4
93,0.804878049,0.195121951,0,1,0,0,0,0,0,1,60,0,50,50,0,0,0,93.33333333,0,0,0,1,1,1,0,-1,1080262,0,1,2
94,0.961098398,0.038901602,0,2,0,0.058823529,0,0,0,1,41.66666667,0,50,50,0,0,0,75,0,0,0,0,1,1,0,-1,294723,0,0,2
95,0.328467153,0.671532847,0,12,0,0,0,0,0,1,12.5,0,0,100,0,0,0,100,0,0,0,0,0,0,2808,8516,8,0,0,10
96,0.935779817,0.064220183,0,0,0,0.071428571,0,0,1,0,100,0,86.66666667,13.33333333,0,0,0,56.25,0,0,0,1,1,0,347,7689,381695,0,0,3
97,0.709677419,0.290322581,0,2,0,0.111111111,0,0,0,1,81.81818182,0,0,0,0,0,0,86.95652174,0,0,0,1,0,0,295,5913,86462,0,0,5
98,0.769784173,0.230215827,0,1,0,0.875,0,0,0,1,66.66666667,0,0,0,0,0,0,81.29032258,0,0,0,0,0,1,0,-1,2346124,0,0,2
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,241,4141,0,0,1,0
100,0.038461538,0.961538462,0,0,0,0,0,0.02,0,1,0,0,0,100,0,0,0,5.128205128,0,0,0,1,1,0,85,4664,0,0,0,4
101,0.919354839,0.080645161,0,0,0,0.1,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,0,0,49,317,0,0,0,0
102,0.8,0.2,0,0,0,0.692307692,0,0.307692308,0,0,60,0,100,0,0,0,0,62.06896552,0,0,0,1,0,0,2009,4566,44445,0,0,5
103,0.5,0.5,0,0,0,0,0,0,0,0,27.27272727,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,3523,0,1,9
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,438,657,0,0,1,0
105,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,1,0,-1,9412550,0,1,2
106,0.402597403,0.597402597,0,3,0,0.086956522,0,0,1,1,9.090909091,0,0,100,0,0,0,13.04347826,0,0,0,1,1,1,0,-1,0,0,0,2
107,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,1,0,25,3993,5707171,0,1,0
108,0.428571429,0.571428571,0,3,0,0,0,0.25,1,1,0,0,0,0,0,0,0,33.33333333,0,0,0,1,1,1,0,-1,0,1,1,0
109,0.921052632,0.078947368,0,0,0,0.666666667,0,0.333333333,0,0,100,0,100,0,0,0,0,25,0,0,0,0,1,0,291,4823,212735,0,1,4
110,0.754098361,0.245901639,0,0,0,0.266666667,0,0.133333333,0,0,90,0,50,50,0,0,0,27.77777778,0,0,0,0,1,0,277,11046,545,0,0,6
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,347,2939,0,0,1,0
112,0.788461538,0.211538462,0,1,0,0.818181818,0,0,0,1,0,0,0,100,0,0,0,100,0,0,0,1,0,0,2825,3385,12180,0,1,5
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,517,7802,0,0,1,5
114,0.879518072,0.120481928,0,0,0,0.3,0,0,0,0,100,0,0,100,0,0,0,33.33333333,0,0,0,1,1,0,120,-1,241891,0,1,5
115,0.083333333,0.916666667,0,2,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,113,5366,3913090,0,0,2
116,0.615384615,0.384615385,0,0,0,0.3,0,0.15,0,0,93.33333333,0,20,80,0,0,0,0,0,0,0,1,1,0,79,2112,0,0,1,1
117,0.93968254,0.06031746,0,0,0,0,0,0,0,1,86.66666667,0,96.77419355,3.225806452,0,0,0,71.69811321,0,0,0,1,1,0,150,7156,2272,0,0,3
118,0.844155844,0.155844156,0,0,0,0.166666667,0,0,0,0,40,0,90,10,0,0,0,11.11111111,0,0,0,0,1,0,1164,7602,145276,0,0,4
119,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,230,135,0,0,1,0
120,0.222826087,0.777173913,0,9,0,0.013986014,0,0.006993007,1,1,3.50877193,0,0,100,0,0,0,29.62962963,0,0,0,1,1,0,644,1546,4669,0,1,2
121,0.288659794,0.711340206,0,5,0,0.132850242,0,0.077294686,0,1,6.976744186,0,6.666666667,93.33333333,0,0,0,7.391304348,0,0,0,1,1,0,358,7,0,0,1,0
122,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2973,8348,1,0,1,10
123,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,0,0,321,-1,0,0,1,0
124,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,0,182,184,0,0,1,0
125,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,154,2403,819233,0,0,3
126,1,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,100,0,0,0,1,1,0,25,3992,5697976,0,1,0
127,0.59375,0.40625,0,3,0,0.153846154,0,0,0,1,50,0,100,0,0,0,0,0,0,0,0,1,1,0,112,254,0,0,0,0
128,0.815789474,0.184210526,0,0,0,0.714285714,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,1,1,0,169,6041,0,0,1,1
129,0.795918367,0.204081633,0,3,0,0.133333333,0,0,0,1,0,0,81.25,18.75,0,0,0,16.66666667,0,0,0,0,1,0,1847,7284,2788,0,1,7
130,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,1,0,1,0,-1,0,0,1,0
131,0.979591837,0.020408163,0,0,0,0,0,0,0,0,96,0,100,0,0,0,0,66.66666667,0,0,0,0,0,0,0,-1,1166803,0,0,3
132,0.944827586,0.055172414,0,1,0,0,0,0,0,1,91.89189189,0,92.85714286,7.142857143,0,0,0,87.5,0,0,0,1,0,1,0,5111,5692030,0,1,1
133,0.972972973,0.027027027,0,1,0,0.125,0,0.125,0,1,84.21052632,0,100,0,0,0,0,90.90909091,0,0,0,0,0,0,2202,8024,88431,0,0,5
134,0.925465839,0.074534161,0,1,0,0.333333333,0,0,0,1,40,0,100,0,0,0,0,75,0,0,0,1,0,0,946,5993,5488,0,0,7
135,0.886792453,0.113207547,0,0,0,0,0,0.333333333,0,1,20,0,100,0,0,0,0,100,0,0,0,1,0,0,237,2684,188662,0,0,4
136,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,725,23941,0,1,1
137,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,0,1,0,0,0,0,0,0,0,14.28571429,0,0,0,1,0,0,374,7295,0,0,1,5
138,0.421875,0.578125,0,2,0,0,0,0,0,1,53.84615385,0,100,0,0,0,0,10,0,0,0,1,0,0,264,3754,3847776,0,0,4
139,0.590909091,0.409090909,0,2,0,0.031746032,0,0,0,1,7.407407407,0,25,75,0,0,0,100,0,0,0,0,0,0,827,5381,299694,0,0,5
140,0.447368421,0.552631579,0,0,0,0.142857143,0,0,0,1,45.45454545,0,100,0,0,0,0,40,0,0,0,1,1,0,275,3743,0,0,1,2
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,62,5416,435027,0,0,3
142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,290,1901,0,0,1,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3937,0,0,0,2
144,0.864864865,0.135135135,0,0,0,0.4,0,0.2,0,0,100,0,100,0,0,0,0,37.5,0,0,0,1,0,0,1001,6668,1677903,0,1,4
145,0.356687898,0.643312102,0,3,0,0.198019802,0,0.099009901,1,1,50,0,0,100,0,0,0,42.7184466,0,0,0,0,0,0,3621,4413,225825,0,0,5
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,361,3983,0,0,1,0
854,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,288,0,0,1,1
147,0.899521531,0.100478469,0,0,0,0.619047619,0,0.095238095,0,0,100,0,100,0,0,0,0,76.66666667,0,0,0,1,1,0,304,7732,81846,0,0,5
148,0.954545455,0.045454545,0,0,0,1,0,0,0,0,100,0,100,0,0,0,0,75,0,0,0,1,1,0,275,2647,0,0,0,1
149,0.714723926,0.285276074,0,1,0,0.053763441,0,0.021505376,0,1,78.57142857,0,34.57943925,65.42056075,0,0,0,73.68421053,0,0,0,0,1,0,59,9285,121,0,0,7
150,0.90070922,0.09929078,0,0,0,0.214285714,0,0.142857143,0,0,89.36170213,0,100,0,0,0,0,40,0,0,0,0,0,0,353,8047,1577,0,0,5
151,0.9,0.1,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,200,531,0,0,1,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,1,0
153,0.883561644,0.116438356,0,0,0,0.411764706,0,0.058823529,0,0,83.33333333,0,63.63636364,36.36363636,0,0,0,65.71428571,0,0,0,1,1,0,145,5334,1137149,0,1,4
154,0.216666667,0.783333333,0,0,0,0.212765957,0,0.127659574,0,0,100,0,0,0,0,0,0,14.54545455,0,0,0,1,1,0,69,7602,2368410,0,1,4
155,0.612980769,0.387019231,0,8,0,0.02484472,0,0.01242236,0,1,34.48275862,0,4,96,0,0,0,13.04347826,0,0,0,1,1,0,161,6460,1119897,0,0,4
156,0.125,0.875,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2430,1953,4365,0,1,3
157,0.642857143,0.357142857,0,0,0,0.133333333,0,0.016666667,1,0,55.55555556,0,95.83333333,4.166666667,0,0,0,17.46031746,0,0,0,0,0,0,1156,-1,7600,0,0,4
158,0.63322884,0.36677116,0,3,0,0.111111111,0,0.017094017,0,1,50,0,97.4137931,2.586206897,0,0,0,19.16666667,0,0,0,1,1,0,984,5224,137,0,0,8
159,0.483870968,0.516129032,0,0,0,0.4375,0,0.625,0,1,66.66666667,0,100,0,0,0,0,0,0,0,0,1,1,1,0,-1,1554194,0,1,2
160,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,177,189,0,0,1,2
161,0.695945946,0.304054054,0,3,0,0.333333333,0,0.111111111,1,1,44.82758621,0,66.66666667,33.33333333,0,0,0,25.92592593,0,0,0,1,1,0,7,6203,38365,0,1,5
162,0.490566038,0.509433962,0,0,0,0.074074074,0,0,0,1,58.33333333,0,0,0,0,0,0,0,0,0,0,0,1,0,204,5639,2,0,0,10
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,42,1785,7811868,0,1,2
164,0.652777778,0.347222222,0,0,0,0.64,0,0,0,0,100,0,100,0,0,0,0,56.14035088,0,0,0,0,0,0,873,6431,15489,0,1,5
165,0.959752322,0.040247678,0,1,0,0,0,0.153846154,0,1,97.5308642,0,94.73684211,5.263157895,0,0,0,46.66666667,0,0,0,0,1,0,302,2254,219358,0,0,4
166,0.867924528,0.132075472,0,1,0,0.285714286,0,0,0,1,90.90909091,0,66.66666667,33.33333333,0,0,0,85,0,0,0,0,0,1,0,-1,543542,0,0,3
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,245,9253,21542,0,0,6
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,18,5825,0,0,1,0
169,0.829268293,0.170731707,0,0,0,0.142857143,0,0,0,0,83.33333333,0,62.5,37.5,0,0,0,0,0,0,0,1,0,0,292,1899,507771,0,1,1
170,0.071428571,0.928571429,0,0,0,0.846153846,0,0.615384615,0,1,0,0,0,0,0,0,0,14.28571429,0,0,0,1,0,0,374,7295,0,0,1,5
171,0.875,0.125,0,0,0,1,0,0,0,0,100,0,100,0,0,0,0,50,0,0,0,1,0,0,262,4120,632334,0,0,3
172,0.882706767,0.117293233,0,0,0,1.038461538,0,0.282051282,0,0,100,0,46.36363636,53.63636364,0,0,0,95,0,0,0,0,1,0,366,3650,7053,0,1,5
173,0.896103896,0.103896104,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,75,0,0,0,1,1,0,3483,8044,2580,0,0,6
174,0.932038835,0.067961165,0,1,0,0.285714286,0,0,0,1,81.81818182,0,100,0,0,0,0,0,0,0,0,1,1,0,0,6831,0,1,1,0
