column1,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks
15,0,0,0,0,3,0,0,0,0,1,0,5,1,4,4,5,12,12,7,6.6,8,5.666666667,0,0,0,0,0,0,50
227,0,0,0,0,1,1,0,0,0,0,0,3,1,3,3,6,6,4,6,4.333333333,3.5,6,0,0,0,0,0,0,8
16,0,0,0,0,2,0,0,1,0,0,0,2,3,3,3,0,14,14,0,8.5,8.5,0,0,0,0,0,0,0,125
17,0,0,0,0,2,0,0,0,0,1,0,5,0,4,4,5,12,12,8,7,8,6.333333333,0,0,0,0,0,0,23
18,0,0,0,0,2,0,0,0,0,0,0,3,3,2,3,2,15,15,2,6.666666667,9,2,0,0,0,0,0,0,0
19,0,0,0,0,2,0,1,0,0,1,0,2,3,3,3,0,11,11,0,7,7,0,0,0,0,0,0,0,219
20,0,0,0,0,3,1,0,0,0,1,0,8,3,2,3,2,8,4,8,5.25,3.5,5.833333333,0,0,0,0,0,0,147
21,0,0,0,0,2,0,0,1,0,0,0,8,0,4,4,4,9,7,9,5.875,5.5,6,0,0,0,0,0,0,77
22,0,0,0,0,2,0,1,0,0,0,0,5,0,1,7,1,7,7,7,5,7,4.5,0,0,0,0,0,0,13
23,0,0,0,0,1,1,0,0,0,1,0,6,0,3,5,3,9,6,9,5.333333333,5.5,5.25,0,0,0,0,0,0,59
24,0,0,1,0,3,1,0,0,0,1,0,13,7,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,51
25,0,0,0,0,2,0,0,1,0,0,0,2,0,8,8,0,19,19,0,13.5,13.5,0,0,1,0,0,0,0,21
26,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,19,19,0,11,11,0,0,0,0,0,0,0,115
27,0,1,0,0,2,0,0,0,0,1,0,11,5,2,3,2,8,6,8,4.545454545,4.25,4.714285714,0,0,0,0,0,0,68
28,0,0,1,0,3,0,0,0,0,1,0,6,3,2,3,2,15,13,15,8.666666667,8.75,8.5,0,0,0,0,0,0,51
29,0,1,0,0,3,0,0,0,0,0,0,17,14,1,3,1,18,7,18,8,5,8.4,1,0,0,0,1,0,31
30,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,0,95
31,0,0,0,0,2,0,0,0,0,1,0,4,3,3,3,6,32,9,32,12.5,6,19,0,0,0,0,0,0,36
32,0,0,0,0,3,0,0,1,0,0,0,4,1,1,1,0,11,11,0,5.25,5.25,0,0,0,0,0,0,0,21
33,0,1,0,0,2,0,1,1,0,0,0,7,1,3,10,3,10,10,10,6.285714286,10,5.666666667,0,0,0,0,0,0,3
34,0,0,0,0,2,0,0,0,0,0,0,6,3,3,5,3,21,7,21,8.166666667,6,9.25,0,1,0,0,0,0,105
35,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,19,19,0,11,11,0,0,0,0,0,0,0,16
36,0,1,0,0,3,0,0,0,0,0,0,16,4,2,20,2,20,20,10,5.4375,20,4.466666667,0,0,0,1,0,0,417
37,0,0,0,0,2,0,0,0,0,1,0,6,3,2,2,0,6,6,0,4.166666667,4.166666667,0,0,1,0,0,0,0,27
38,0,0,0,0,2,1,1,0,0,0,0,4,3,1,1,3,3,3,3,2.5,2.333333333,3,0,0,0,0,0,0,160
39,0,0,0,0,2,0,0,0,0,0,0,3,2,5,5,0,7,7,0,6,6,0,1,0,0,0,0,0,183
40,0,0,0,0,2,1,0,0,0,0,0,9,0,2,26,2,26,26,9,7.222222222,26,4.875,4,0,0,0,0,0,23
41,0,0,0,0,2,0,1,0,0,0,0,3,0,4,4,4,8,8,4,5.333333333,6,4,0,0,0,0,0,0,1
42,0,0,0,0,2,1,0,0,0,2,0,10,4,2,3,2,32,10,32,7.8,7,8.142857143,2,0,0,0,0,0,22
43,0,0,0,0,1,0,0,0,0,0,0,1,1,5,5,0,5,5,0,5,5,0,0,0,0,0,0,0,35
44,0,0,0,0,2,0,0,0,0,1,0,8,3,3,4,3,13,13,9,5.875,8.5,5,0,0,0,0,0,0,265
45,0,0,0,0,2,1,0,1,0,1,0,14,6,1,2,1,40,10,40,7.428571429,7,7.545454545,0,0,0,0,0,0,26
46,0,0,0,0,2,1,0,0,0,0,0,5,4,3,3,7,10,7,10,6.8,5.666666667,8.5,0,0,0,0,0,0,279
47,0,0,0,0,2,0,0,0,0,1,0,3,1,10,13,10,14,14,10,12.33333333,13.5,10,0,0,0,0,0,0,7
48,0,0,0,0,3,0,1,0,0,0,0,6,4,3,3,3,9,3,9,4.666666667,3,5.5,0,0,0,0,0,0,420
605,0,0,0,0,1,0,0,0,0,0,0,2,1,7,18,7,18,18,7,12.5,18,7,0,0,0,0,0,0,0
49,0,0,0,0,2,0,0,0,0,1,0,12,4,3,10,3,40,10,40,11.41666667,10,11.54545455,0,0,0,0,0,0,13
50,0,0,0,0,2,1,0,0,0,0,0,4,3,3,3,4,14,14,7,7,8.5,5.5,0,0,0,0,0,0,43
51,0,0,0,0,3,0,0,0,0,0,0,9,2,2,4,2,44,10,44,9.222222222,7,9.857142857,0,0,0,0,0,0,64
52,0,0,0,0,3,0,0,0,0,0,0,7,1,2,4,2,7,7,7,4.285714286,5,3.75,0,0,0,0,0,0,0
53,0,0,0,0,2,0,0,0,0,0,0,5,0,2,2,4,10,9,10,5.8,5.5,6,0,1,0,0,0,0,253
54,0,0,0,0,3,0,0,0,0,4,0,4,4,3,3,4,16,16,11,8.5,9.5,7.5,0,0,0,0,0,0,91
55,0,0,0,0,3,0,0,0,0,1,0,5,4,2,3,2,11,11,4,4.6,7,3,0,0,0,0,0,0,184
56,0,0,0,0,2,0,0,0,0,1,0,5,8,2,3,2,32,19,32,13.2,11,14.66666667,0,0,0,0,0,0,30
57,0,1,0,0,2,0,0,1,0,1,0,14,0,2,10,2,16,16,11,6.285714286,13,5.166666667,0,0,0,0,0,0,83
58,0,0,0,0,2,0,0,0,0,1,0,4,1,4,5,4,9,6,9,6,5.5,6.5,2,1,0,0,0,0,27
59,0,0,0,0,2,0,0,0,0,0,0,11,2,1,4,1,16,6,16,7,5,7.444444444,1,1,0,0,0,0,27
60,0,0,0,0,2,0,0,0,0,1,0,4,3,3,3,3,19,19,5,7.5,11,4,0,0,0,0,0,0,118
61,0,0,0,0,3,1,0,1,0,0,0,8,3,1,1,2,18,18,7,5.25,7,3.5,2,0,0,0,0,0,21
62,0,0,0,0,3,0,0,0,0,1,0,14,2,1,7,1,9,7,9,3.571428571,7,3,0,0,0,0,0,0,0
63,0,0,0,0,3,1,0,0,0,1,0,8,3,3,3,4,8,5,8,5.375,4,6.2,0,0,0,0,0,0,54
64,0,0,0,0,3,0,0,1,0,0,0,4,1,1,1,0,15,15,0,6.25,6.25,0,0,0,0,0,0,0,0
65,0,0,0,0,3,0,0,0,0,0,0,5,5,3,3,4,16,16,8,7.4,9.5,6,0,0,0,0,0,1,0
66,0,1,0,0,3,0,0,1,0,1,0,11,3,3,5,3,10,7,10,6,6,6,0,1,0,0,0,0,1
67,0,0,0,0,2,0,0,0,0,1,0,7,2,4,8,4,10,8,10,8.142857143,8,8.166666667,0,0,0,0,0,0,167
68,0,0,0,0,2,1,0,0,0,2,0,6,4,3,3,3,8,8,7,5,5.5,4.75,0,0,0,0,0,0,849
69,0,0,0,0,3,0,0,0,0,1,0,5,4,3,3,3,13,9,13,7.8,6,9,0,0,0,0,0,0,0
70,0,0,0,0,1,1,0,0,0,1,0,5,3,6,7,6,10,10,9,7.8,8.5,7.333333333,1,0,0,0,0,0,5
71,0,0,0,0,2,0,0,0,0,0,0,5,0,2,2,3,9,9,4,4.4,5.5,3.666666667,0,1,0,0,0,0,385
72,0,0,0,0,2,0,0,0,0,0,0,8,6,3,3,3,10,7,10,6.125,5,6.5,0,0,0,0,0,0,212
73,0,0,0,0,3,1,1,0,0,0,0,7,0,2,10,2,10,10,9,6,10,5.333333333,2,0,0,0,0,0,0
74,0,0,0,0,3,0,0,0,0,0,0,7,1,3,13,3,13,13,8,6,13,4.833333333,1,0,0,0,0,0,13
75,0,0,0,0,3,0,0,0,0,0,0,5,0,4,4,4,18,18,5,8.2,10.66666667,4.5,0,0,0,0,0,0,0
76,0,0,0,0,1,1,0,0,0,1,0,3,2,3,8,3,8,8,7,6,8,5,0,0,0,0,0,0,44
77,0,0,0,0,2,0,0,0,0,0,0,4,3,3,3,4,17,17,7,7.75,10,5.5,0,0,0,0,0,0,0
78,0,0,0,0,2,0,0,0,0,0,0,4,0,2,2,4,9,9,7,5.5,5.5,5.5,0,1,0,0,0,0,199
79,0,0,0,0,2,0,0,1,0,1,0,2,1,8,8,0,16,16,0,12,12,0,0,1,0,0,0,0,14
80,0,0,0,0,2,0,0,0,0,1,0,7,1,2,14,2,14,14,5,5,14,3.5,1,0,0,0,0,0,1
81,0,0,0,0,2,0,0,1,0,1,0,2,8,8,8,0,11,11,0,9.5,9.5,0,0,1,0,0,0,0,5
82,0,0,0,0,1,0,0,0,0,0,0,2,2,7,7,14,14,7,14,10.5,7,14,0,1,0,0,0,0,25
83,0,0,0,0,3,0,0,0,0,0,0,2,3,3,3,0,9,9,0,6,6,0,0,0,0,0,0,0,33
84,0,0,0,0,2,1,0,0,0,0,0,7,5,2,15,2,32,15,32,10.14285714,15,9.333333333,3,0,0,0,0,0,11
85,0,0,0,0,2,0,0,0,0,1,0,13,3,3,3,3,22,4,22,6,3.5,6.454545455,0,0,0,0,0,0,148
86,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,15,15,0,9,9,0,0,0,0,0,0,0,181
87,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,12,12,0,7.5,7.5,0,0,0,0,0,0,0,81
88,0,0,0,0,3,1,1,0,0,0,0,15,3,2,2,2,17,17,13,6.266666667,9.5,5.769230769,3,0,0,0,0,0,98
89,0,0,0,0,2,0,0,0,0,1,0,6,4,3,3,4,13,13,8,7,8,6.5,1,0,0,0,0,0,129
90,0,0,0,0,2,0,0,0,0,1,0,5,1,3,15,3,15,15,8,7.8,15,6,0,0,0,0,0,0,98
91,0,0,0,0,3,0,0,0,0,0,0,6,10,3,7,3,110,7,110,22.66666667,7,25.8,0,0,0,0,0,0,45
92,0,0,0,0,3,0,0,0,0,1,0,11,6,1,3,1,17,17,8,5.727272727,10,4.777777778,0,0,0,0,0,0,38
93,0,0,0,0,3,1,1,0,0,2,0,7,0,2,3,2,8,3,8,5,3,5.333333333,3,0,0,0,0,0,41
94,0,0,0,0,1,0,1,0,0,0,0,1,0,6,6,0,6,6,0,6,6,0,0,0,0,0,0,0,437
95,0,0,0,0,2,0,0,0,0,0,0,3,4,3,3,14,14,8,14,8.333333333,5.5,14,0,1,0,0,0,0,137
96,0,0,0,0,2,1,0,0,0,0,0,3,3,3,3,0,6,6,0,4.333333333,4.333333333,0,0,0,0,0,0,0,218
97,0,0,0,0,3,1,1,0,0,1,0,5,4,3,3,3,4,4,4,3.4,3.333333333,3.5,0,0,0,0,0,0,31
98,0,0,0,0,1,0,1,0,0,0,0,1,0,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,139
99,0,0,0,0,1,0,0,0,0,0,0,2,0,2,8,2,8,8,2,5,8,2,0,0,0,0,0,0,0
100,0,0,0,0,3,0,0,0,0,1,0,2,3,3,3,0,11,11,0,7,7,0,0,0,0,0,0,0,104
101,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,13,13,0,8,8,0,0,0,0,0,0,0,124
102,0,0,0,0,2,0,0,0,0,0,0,4,4,3,3,5,11,7,11,6.5,5,8,0,0,0,0,0,0,65
103,0,0,0,0,1,0,0,1,0,1,0,2,0,3,3,7,7,3,7,5,3,7,0,0,0,0,0,0,16
104,0,0,0,0,3,0,0,0,0,0,0,7,4,3,3,3,7,6,7,5,4.5,5.2,0,0,0,0,0,0,2
105,0,0,0,0,3,0,0,0,0,0,0,5,3,1,3,1,13,13,3,4.4,8,2,0,0,0,0,0,0,1
106,0,0,0,0,3,0,0,0,0,1,0,2,3,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,0,77
107,0,0,1,0,3,1,0,0,0,1,0,7,7,2,3,2,15,13,15,8.428571429,8.4,8.5,0,0,0,0,0,0,51
108,0,1,1,1,3,0,0,0,0,1,1,81,10,1,2,1,10,3,10,4.271604938,2.5,4.363636364,3,0,0,1,0,2,21
109,0,0,0,0,2,0,0,1,0,1,0,3,0,2,2,10,12,12,10,8,7,10,0,0,0,0,0,0,38
110,0,0,0,0,3,0,0,0,0,1,0,9,3,3,5,3,13,13,8,6,9,5.142857143,0,0,0,0,0,0,61
111,0,0,0,0,2,0,0,0,0,0,0,7,3,3,3,3,9,7,9,5.428571429,5,5.6,0,0,0,0,0,0,0
112,0,0,0,0,1,0,0,0,0,0,0,11,2,1,9,1,9,9,7,4.363636364,9,3.9,0,0,0,0,0,0,52
113,0,0,1,0,3,0,0,0,0,0,0,7,1,4,4,4,13,12,13,7.714285714,8,7.6,0,0,0,0,0,0,0
114,0,0,0,0,2,1,0,0,0,2,0,6,3,3,3,4,11,11,8,6,7,5.5,0,0,0,0,0,0,83
115,0,0,0,0,2,1,0,0,0,0,0,3,3,3,3,0,7,7,0,5.333333333,5.333333333,0,0,0,0,0,0,0,24
116,0,1,0,0,3,0,0,1,0,1,0,8,12,3,3,3,32,11,32,8.875,7,9.5,1,0,0,1,0,0,52
117,0,1,0,0,3,0,0,0,0,1,0,6,1,3,3,3,8,8,7,5,5.5,4.75,0,0,0,0,0,0,315
118,0,0,0,0,3,0,0,0,0,0,0,6,4,3,3,4,12,12,10,6.5,7.5,6,0,0,0,0,0,0,77
119,0,0,0,0,3,0,0,0,0,0,0,8,4,2,3,2,15,4,15,5.75,3.5,6.5,0,0,0,0,0,0,5
120,0,0,1,0,2,1,0,0,0,0,0,3,4,5,5,0,13,13,0,9,9,0,0,0,0,0,0,0,184
121,0,0,0,0,2,1,0,0,0,0,0,8,0,3,6,3,14,14,7,6.5,10,5.333333333,0,0,0,0,0,0,582
122,0,0,0,0,2,0,0,0,0,0,0,8,2,1,5,1,33,6,33,7.875,5.5,8.666666667,1,1,0,0,0,0,10
123,0,0,0,0,1,1,0,0,0,0,0,4,1,5,14,5,32,14,32,14.5,14,14.66666667,0,0,0,0,0,0,14
124,0,0,0,0,2,0,0,0,0,1,0,5,1,3,3,6,11,11,6,5.8,5.75,6,0,0,0,0,0,0,4
125,0,0,0,0,3,1,0,0,0,0,0,12,8,2,3,2,16,8,16,7.5,5.5,7.9,2,0,0,0,0,0,1
126,0,0,1,0,3,1,0,0,0,1,0,13,2,2,3,2,17,13,17,7.769230769,8.4,7.375,0,0,0,0,0,0,51
127,0,0,0,0,3,0,0,0,0,1,0,9,4,2,3,2,44,12,44,8.888888889,7.5,9.285714286,0,0,0,0,0,0,32
128,0,0,0,0,2,1,0,0,0,0,0,7,3,3,3,5,7,7,7,5.428571429,4.666666667,6,1,0,0,0,0,0,38
129,0,0,0,0,3,0,0,0,0,2,0,5,3,3,3,4,12,9,12,7,6,7.666666667,0,0,0,0,0,0,147
130,0,0,0,0,3,0,0,0,0,1,0,6,2,3,7,3,7,7,7,5.333333333,7,5,3,0,0,1,0,0,4
131,0,1,0,0,2,1,0,0,0,1,0,5,3,2,3,2,13,13,3,4.8,6.333333333,2.5,0,0,0,0,0,0,98
132,0,0,0,0,3,0,1,0,0,1,0,5,3,1,3,1,5,4,5,3,3.5,2.666666667,1,0,0,0,0,0,145
133,0,1,0,0,2,0,0,0,0,0,0,10,3,3,7,3,9,8,9,6.6,7.5,6.375,0,0,0,0,0,0,296
134,0,1,0,0,2,0,0,0,0,0,0,18,3,3,3,4,10,10,8,5.166666667,6.5,5,0,0,0,0,0,0,161
135,0,0,0,0,3,0,0,0,0,1,0,5,3,3,3,3,12,12,10,7.6,7.5,7.666666667,0,0,0,0,0,0,53
136,0,0,1,0,3,1,1,0,0,1,0,7,2,2,2,0,6,6,0,4,4,0,0,0,0,0,0,0,3
137,0,0,0,0,2,0,0,1,0,1,0,2,0,8,8,0,16,16,0,12,12,0,0,1,0,0,0,0,14
138,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,15,15,0,9,9,0,0,0,0,0,0,0,64
139,0,0,0,0,2,0,0,0,0,0,0,7,3,1,3,1,8,8,7,4.142857143,5.5,3.6,0,0,0,0,0,0,154
140,0,1,0,0,2,0,0,0,0,0,0,11,0,3,3,3,19,3,19,7.272727273,3,7.7,1,0,0,0,0,0,38
141,0,0,0,0,3,0,0,0,0,0,0,5,4,3,3,3,11,11,6,5.2,7,4,0,0,0,0,0,0,0
142,0,0,0,0,3,0,0,0,0,0,0,4,0,4,4,0,10,10,0,7,7,0,1,0,0,0,0,0,1
143,0,0,0,0,1,0,0,0,0,0,0,1,0,5,5,0,5,5,0,5,5,0,0,0,0,0,0,0,0
144,0,0,0,0,3,0,1,0,0,2,0,7,3,1,3,1,9,3,9,3.714285714,3,4,0,0,0,0,0,0,37
145,0,0,0,0,1,0,0,0,0,1,0,5,1,3,11,3,11,11,7,7,11,6,0,0,0,0,0,0,157
146,0,0,0,0,3,0,0,0,0,0,0,8,3,2,2,3,6,6,4,3.75,3.8,3.666666667,0,0,0,0,0,0,0
854,0,0,0,0,1,0,0,0,0,1,0,3,0,1,5,1,8,5,8,4.666666667,5,4.5,0,0,0,0,0,0,8
147,0,0,0,0,1,0,0,0,0,0,0,4,1,3,15,3,15,15,8,8.5,15,6.333333333,0,0,0,0,0,0,209
148,0,0,0,0,1,1,0,0,0,0,0,3,0,1,3,1,5,5,1,3,4,1,0,0,0,0,0,0,22
149,0,0,0,0,2,0,0,1,0,0,0,7,3,1,3,1,8,7,8,4.428571429,5,4.2,0,1,0,0,0,0,326
150,0,0,0,0,3,0,0,0,0,1,0,5,2,3,7,3,13,13,6,6.6,10,4.333333333,0,0,0,0,0,0,141
151,0,1,0,0,3,1,0,0,0,1,0,12,4,2,3,2,23,17,23,7.166666667,10,6.6,3,0,0,0,0,0,10
152,0,0,0,0,2,0,0,0,0,0,0,3,2,4,17,4,17,17,5,8.666666667,17,4.5,0,0,0,0,0,0,0
153,0,0,0,0,3,0,0,0,0,2,0,9,4,3,3,3,10,9,10,6.444444444,6,6.571428571,0,0,0,0,0,0,146
154,0,0,0,0,2,0,0,0,0,2,0,4,3,3,3,4,9,9,6,5.5,6,5,0,0,0,0,0,0,60
155,0,0,0,0,2,1,0,0,0,0,0,3,4,3,3,0,6,6,0,4.666666667,4.666666667,0,0,0,0,0,0,0,416
156,0,0,0,0,2,0,0,0,0,0,0,3,2,3,3,10,10,5,10,6,4,10,1,0,0,0,1,0,8
157,0,0,0,0,3,0,0,1,0,0,0,2,3,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,168
158,0,0,0,0,2,0,0,0,0,0,0,9,3,2,3,2,10,10,9,6.333333333,6.5,6.285714286,0,0,0,0,0,0,319
159,0,0,0,0,3,0,0,0,0,0,0,30,17,2,3,2,34,8,34,9.9,5.5,10.21428571,1,0,0,0,0,0,31
160,0,0,0,0,2,1,0,0,0,0,0,3,1,6,6,0,9,9,0,7.666666667,7.666666667,0,0,0,0,0,0,0,3
161,0,0,0,0,2,0,0,0,0,2,0,9,3,3,3,4,14,14,7,6,8.5,5.285714286,2,0,0,0,0,0,148
162,0,0,0,0,2,0,0,0,0,0,0,4,3,3,3,4,7,7,4,4.5,5,4,0,1,0,0,0,0,53
163,0,0,0,0,3,0,0,0,0,0,0,9,5,2,3,2,9,9,9,5.333333333,6,5.142857143,0,0,0,0,0,0,0
164,0,0,0,0,2,0,0,0,0,1,0,4,0,2,5,2,9,8,9,6,6.5,5.5,0,0,0,0,0,0,72
165,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,7,7,0,5,5,0,0,0,0,0,0,0,323
166,0,0,0,0,2,0,0,0,0,0,0,2,4,3,3,0,10,10,0,6.5,6.5,0,0,0,0,0,0,0,53
167,0,0,0,0,2,0,0,0,0,0,0,6,0,3,3,3,6,3,6,3.666666667,3,3.8,0,0,0,0,0,0,0
168,0,0,0,0,3,1,1,0,0,1,0,5,5,3,3,32,32,7,32,9.6,4,32,0,0,0,0,0,2,0
169,0,0,0,0,2,0,0,0,0,1,0,5,1,3,9,3,9,9,6,5.2,9,4.25,2,0,0,0,0,0,41
170,0,0,0,0,2,0,0,1,0,0,0,2,0,8,8,0,18,18,0,13,13,0,0,1,0,0,0,0,14
171,0,0,0,0,3,1,0,0,0,0,0,6,3,3,3,4,9,9,7,5.833333333,6.666666667,5,0,0,0,0,0,0,8
172,0,0,0,0,2,0,0,1,0,1,0,8,3,3,3,3,8,5,8,5.125,4,5.5,0,0,0,0,0,0,665
173,0,0,0,0,3,0,0,0,0,0,0,6,3,1,3,1,12,12,8,5.5,7.5,4.5,0,0,0,0,0,0,77
174,0,0,0,0,2,1,1,0,0,1,0,4,3,2,2,18,18,13,18,9.25,6.333333333,18,0,0,0,0,0,0,103
175,0,1,0,0,2,1,0,0,0,1,0,5,0,2,11,2,11,11,7,5.6,11,4.25,0,0,0,0,0,0,21
176,0,1,1,0,3,0,0,0,0,1,0,10,6,2,8,2,30,30,7,7.5,19,4.625,0,1,0,0,0,0,57
177,0,1,0,0,3,0,0,0,0,1,0,6,4,3,3,3,15,7,15,7.333333333,5,8.5,0,0,0,0,0,0,77
178,0,0,0,0,1,0,0,0,0,1,0,1,0,6,6,0,6,6,0,6,6,0,0,0,0,0,0,0,105
179,0,0,0,0,2,0,0,1,0,0,0,11,2,1,7,1,65,15,65,16.45454545,11,17.66666667,1,0,0,0,0,0,12
180,0,1,0,0,3,0,0,1,0,1,0,10,2,3,5,3,19,7,19,7.3,6,7.857142857,1,1,0,0,0,0,1
181,0,0,1,0,3,1,0,0,0,2,0,5,1,3,3,0,7,7,0,5.2,5.2,0,0,0,0,0,0,0,20
182,0,0,0,0,2,0,1,0,0,0,0,2,0,1,1,0,5,5,0,3,3,0,0,0,0,0,0,0,45
183,0,0,0,0,2,1,0,0,0,0,0,4,0,1,3,1,14,14,3,5.25,8.5,2,0,0,0,0,0,0,0
184,0,0,0,0,3,0,0,0,0,0,0,7,1,3,22,3,22,22,9,6.571428571,22,4,0,0,0,0,0,0,23
185,0,0,0,0,2,0,0,0,0,1,0,6,5,3,3,3,13,13,7,6.166666667,8,5.25,0,0,0,0,0,0,0
186,0,0,0,0,3,0,0,1,0,0,0,11,2,1,1,1,9,7,9,4.818181818,4.857142857,4.75,1,0,0,0,0,0,21
187,0,0,0,0,2,0,0,0,0,1,0,2,0,8,8,0,15,15,0,11.5,11.5,0,0,1,0,0,0,0,24
188,0,0,0,0,3,0,0,0,0,0,0,33,15,1,3,1,40,6,40,5,4.5,5.032258065,0,1,0,0,0,0,0
189,0,0,0,0,1,0,0,0,0,0,0,4,1,5,9,5,9,9,8,7.25,9,6.666666667,0,0,0,0,0,0,109
190,0,0,0,0,3,0,0,0,0,0,0,7,17,3,3,3,88,19,88,18.71428571,8.25,32.66666667,0,0,1,0,0,0,8
191,0,0,0,0,3,0,0,0,0,1,0,4,3,2,3,2,14,14,4,5.75,8.5,3,0,0,0,0,0,0,0
192,0,0,0,0,2,1,0,0,0,0,0,9,3,3,3,3,8,8,6,5,5.5,4.857142857,2,0,0,0,0,0,33
193,0,0,0,0,3,0,0,0,0,0,0,14,6,1,3,1,12,10,12,5.642857143,6.5,5.5,0,0,0,0,0,0,0
194,0,0,0,0,2,0,0,0,0,0,0,3,0,4,7,4,9,9,4,6.666666667,8,4,0,0,0,0,0,2,52
6815,0,0,0,0,1,0,0,0,0,0,0,2,1,7,14,7,14,14,7,10.5,14,7,0,0,0,0,0,0,0
195,0,0,0,0,2,0,0,0,0,0,0,9,1,2,2,2,13,9,13,5,5.5,4.857142857,0,1,0,0,0,0,822
196,0,0,0,0,3,1,1,0,0,0,0,10,3,2,3,2,7,7,7,4.1,5,3.875,3,0,0,0,0,0,33
197,0,0,0,0,1,0,0,0,0,2,0,2,0,2,10,2,10,10,2,6,10,2,0,0,0,0,0,0,7
198,0,0,0,0,2,0,0,0,0,1,0,4,5,3,3,4,13,13,5,6.25,8,4.5,0,0,0,0,0,0,182
199,0,1,0,0,3,1,1,0,0,0,0,6,3,3,3,3,5,4,5,3.833333333,3.333333333,4.333333333,0,0,0,0,0,0,335
200,0,0,0,0,2,0,0,0,0,0,0,15,0,1,4,1,15,4,15,6.533333333,4,6.714285714,0,0,0,0,0,0,11
201,0,0,0,0,2,1,0,0,0,0,0,7,3,2,3,2,8,7,8,4.857142857,5,4.8,0,1,0,0,0,0,280
202,0,1,1,1,3,0,0,0,0,0,0,9,2,2,2,2,7,3,7,3.222222222,2.75,3.6,0,0,0,0,0,2,0
203,0,0,0,0,2,0,0,0,0,0,0,2,4,9,9,0,10,10,0,9.5,9.5,0,0,1,0,0,0,0,105
204,0,0,0,0,3,0,0,0,0,1,0,12,12,4,7,4,15,15,12,8,11,7.4,0,0,0,0,0,0,8
